optimizer,lr,schedule,weight_decay,batch_size,grad_clip,epochs,train_loss,train_acc,test_loss,test_acc,gap_loss,gap_acc,pl,ge,steps
sgd,0.01,step,0.0,32,0.0,60,0.08468800986884162,0.97265625,0.07061042459099554,0.97265625,-0.014077585277846083,0.0,12.275500922383799,0.02293627037562256,1920
sgd,0.01,step,0.0,32,1.0,60,0.08423308268538676,0.970703125,0.07043562876060605,0.9716796875,-0.013797453924780712,-0.0009765625,12.403801144333556,0.02162655245971732,1920
sgd,0.01,step,0.0,128,0.0,60,0.15912435576319695,0.9462890625,0.14125523623079062,0.958984375,-0.01786911953240633,-0.0126953125,3.272794751712354,0.0015735429422538336,480
sgd,0.01,step,0.0,128,1.0,60,0.15136503148823977,0.951171875,0.13366954401135445,0.962890625,-0.01769548747688532,-0.01171875,3.310556483542314,0.0015751068619259741,480
sgd,0.01,step,0.0001,32,0.0,60,0.08471244477550499,0.9716796875,0.07094231617520563,0.9716796875,-0.013770128600299358,0.0,12.349418919875461,0.02052381395285932,1920
sgd,0.01,step,0.0001,32,1.0,60,0.08426797203719616,0.97265625,0.07001823637983762,0.9716796875,-0.014249735657358542,0.0009765625,12.791008066989889,0.02477822906973743,1920
sgd,0.01,step,0.0001,128,0.0,60,0.16431164368987083,0.9443359375,0.1478451006114483,0.9541015625,-0.016466543078422546,-0.009765625,3.2093516240711324,0.0016389734109777728,480
sgd,0.01,step,0.0001,128,1.0,60,0.16704238951206207,0.94140625,0.14850686583667994,0.953125,-0.018535523675382137,-0.01171875,3.165120924299117,0.0016177012987239024,480
sgd,0.01,step,0.001,32,0.0,60,0.08689411723753437,0.970703125,0.07233403201098554,0.97265625,-0.014560085226548836,-0.001953125,11.978003416064894,0.02081174672408852,1920
sgd,0.01,step,0.001,32,1.0,60,0.08587662875652313,0.970703125,0.07172316274954937,0.97265625,-0.014153466006973758,-0.001953125,12.799714561726432,0.02170099047546053,1920
sgd,0.01,step,0.001,128,0.0,60,0.17843647114932537,0.93359375,0.16072119027376175,0.94921875,-0.01771528087556362,-0.015625,3.023989970679395,0.0015236819085928674,480
sgd,0.01,step,0.001,128,1.0,60,0.17660692986100912,0.9345703125,0.1586603531613946,0.9501953125,-0.017946576699614525,-0.015625,3.076798735797638,0.0015478536447727797,480
sgd,0.05,constant,0.0,32,0.0,60,0.07881650149647612,0.9736328125,0.07325007372128312,0.9697265625,-0.005566427775193006,0.00390625,66.7267549932003,0.6523708313419635,1920
sgd,0.05,constant,0.0,32,1.0,60,0.08797054830938578,0.96875,0.0823543538863305,0.97265625,-0.005616194423055276,-0.00390625,69.60354740358889,0.7352000937032186,1920
